;X;PY;TI;DE;AB;SR;DI;;;;;;;;;;;;;;;;;;
1695;GOMES C, 1999, BULL MAR SCI;1999;MITOCHONDRIAL DNA D-LOOP VARIATION AND IMPLICATIONS FOR STOCK STRUCTURE OF THE FOUR-WING FLYINGFISH, HIRUNDICHTHYS AFFINIS, IN THE CENTRAL WESTERN ATLANTIC;NA;THE FOUR-WING FLYINGFISH, HIRUNDICHTHYS AFFINIS, IS AN EPIPELAGIC, OPEN-WATER SPECIES FOUND THROUGHOUT THE TROPICAL (CENTRAL) ATLANTIC. IN THE CENTRAL WESTERN ATLANTIC IT SUPPORTS COMMERCIALLY IMPORTANT FISHERIES IN THREE GEOGRAPHICALLY SEPARATE AREAS: THE EASTERN CARIBBEAN ISLANDS;;;;;;;;;;;;;;;;;;;;
1700;JOHNSSON R, 1999, BULL MAR SCI;1999;CLETOPONTIUS TITANUS NEW SPECIES, A NEW SIPHONOSTOMATOID (CRUSTACEA : COPEPODA) ASSOCIATED WITH SPONGES FROM BRAZIL;NA;THE PREVIOUSLY MONOTYPIC GENUS CLETOPONTIUS, FROM CEYLON, NOW HAS A SECOND SPECIES DESCRIBED, RECORDED FROM THE ATLANTIC OCEAN. CLETOPONTIUS TITANUS N. SP. WAS FOUND ASSOCIATED WITH SPONGES FROM THE BRAZILIAN COAST. BESIDES THE ABSENCE OF THE ENDOPOD OF P4, WHICH IS CHARACTERISTIC OF THE GENUS, C. TITANUS SHOWS A STYLET MANDIBLE WITH A TRIANGULARLY ENLARGED DISTAL EXTREMITY, A 20-SEGMENTED ANTENNULE, 1-SEGMENTED ANTENAL EXOPOD ARMED WITH 3 SETAE, AND AN ANAL SOMITE WITH AN ELONGATED AND BIFURCATED PLATE THAT PARTIALLY COVERS THE CAUDAL RAMI VENTRALLY. THE MALE CLETOPONTIUS IS DESCRIBED FOR THE FIRST TIME.;JOHNSSON R, 1999, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1701;TABOSA IM, 1999, ARQ BRAS MED VET ZOOTEC;1999;CUTANEOUS PYTHIOSIS IN HORSES AND MULES IN PARAIBA, BRAZIL;HORSE;;;;;;;;;;;;;;;;;;;;;
1702;SCHWAMBORN R, 1999, ARCH FISH MAR RES;1999;THE CONTRIBUTION OF ESTUARINE DECAPOD LARVAE TO MARINE ZOOPLANKTON COMMUNITIES IN NORTH-EAST BRAZIL;NA;ZOOPLANKTON (> 300 MU M) WAS SAMPLED ALONG A LARGE SCALE SAMPLING GRID OFF THE NORTHEAST BRAZILIAN COAST FROM PERNAMBUCO TO CEARA STATE, DURING THE DRY SEASON, FROM FEBRUARY TO MARCH, 1995. ADDITIONALLY, THE ITAMARACA ESTUARINE SYSTEM (IES) (NEAR RECIFE, PERNAMBUCO STARE) WAS CHOSEN FOR A MESOSCALE INVESTIGATION. EXPORT OF WATER MASSES FROM THE IES WAS RESTRICTED TO THE REEF LINE, ABOUT 6 KM FROM THE COAST. IN SPITE OF THIS GEOMORPHOLOGICAL AND HYDROGRAPHICAL BARRIER, ESTUARINE DECAPOD LARVAE WERE EXPORT ED TO ABOUT 15 KM OFFSHORE. ON THE INSHORE SHELF OFF PERNAMBUCO STATE (6 TO 15 KM OFFSHORE), DECAPOD LARVAE DOMINATED IN ABUNDANCE AND BIOMASS. HERE, THE DOMINANT DECAPOD GROUPS WERE BRACHYURA (LATE-STAGE UNIDENTIFIED ZOEAE OF TYPE A, AND XANTHIDAE), CARIDEA, PORCELLANIDAE, ANOMURA, AND CALLIANASSIDAE. IN THE IES, THE MOST ABUNDANT DECAPOD TAXA WERE: FIRST-STAGE ZOEAE OF BRACHYURA (UCD SPP., UCIDES CORDATUS, GRAPSIDAE, XANTHIDAE, AND UNIDENTIFIED ZOEAE OF TYPE ``A''), LUCIFER FAXONI, UPOGEBIIDAE, CARIDEA, ACETES AMERICANUS, AND ANOMURA. AT DISTANCES OF MORE THAN 20 KM OFF PERNAMBUCO AND AT MOST STATIONS OFF CEARA STATE, THE ZOOPLANKTON WAS CHARACTERIZED BY AN OCEANIC COPEPOD COMMUNITY. THE PRESENT STUDY CONFIRMS THE IMPORTANCE OF ESTUARINE MANGROVE ECOSYSTEMS AS SOURCES OF FOOD FOR MARINE FOOD WEBS.;SCHWAMBORN R, 1999, ARCH FISH MAR RES;NA;;;;;;;;;;;;;;;;;;
1703;SCHWAMBORN R, 1999, ARCH FISH MAR RES-a;1999;STABLE ISOTOPE COMPOSITION OF PARTICULATE ORGANIC MATTER AND ZOOPLANKTON IN NORTH-EAST BRAZILIAN SHELF WATERS;NA;PARTICULATE ORGANIC MATTER (POM) AND ZOOPLANKTON (> 300 MU M) WERE SAMPLED AT 15 STATIONS ALONG FIVE TRANSECTS OFF NORTH-EASTERN BRAZIL DURING THE DRY SEASON. ADDITIONALLY, SAMPLES WERE TAKEN FROM THE ITAMARACA ESTUARINE SYSTEM (IES), NEAR RECIFE, FOR COMPARISON. THE DATA ON NATURALLY OCCURRING STABLE ISOTOPES SUGGEST THAT EXPORT OF POM FROM THE IES WAS RESTRICTED TO THE REEF LINE. THIS WAS EVIDENT BY A MAXIMUM OF DELTA(13)C ON THE INSHORE SHELF (APP. 6 TO 15 KM OFFSHORE). THERE WAS NO MEASURABLE ESTUARINE INFLUENCE ON DELTA(13)C OF POM AND ZOOPLANKTON ON THE SHELF. NO SIGNIFICANT DIFFERENCES WERE OBSERVED IN DELTA(13)C AND DELTA(15)N BETWEEN THE SAMPLES TAKEN AT SHELF STATIONS OFF PERNAMBUCO AND CEARA STATES, ALTHOUGH MANGROVE COVER IN PERNAMBUCO IS MORE THAN 10 TIMES HIGHER THAN IN CEARA. DELTA(13)C VALUES OF SHELF ZOOPLANKTON VARIED BETWEEN -19.8 AND -16.3 PARTS PER THOUSAND PDB. THE DIFFERENCE IN DELTA(13)C BETWEEN ZOOPLANKTON AND POM WAS 4.2 +/- 1.8 PARTS PER THOUSAND. DECAPOD CRUSTACEAN LARVAE SHOWED DELTA(13)C VALUES BETWEEN -19.8 AND -17.2 PARTS PER THOUSAND PDB. COPEPODS HAD DELTA(13)C VALUES BETWEEN -19.5 AND -18.7 PARTS PER THOUSAND PDB. THE DIFFERENCES IN DELTA(13)C BETWEEN COPEPODS AND CHAETOGNATHS FOUND INSHORE AND OFFSHORE WERE 1.1 AND 1.0 PARTS PER THOUSAND PDB, RESPECTIVELY. AFTER ``C/N-CORRECTING'' DELTA(13)C VALUES, ZOOPLANKTON STILL HAD SIGNIFICANTLY HIGHER VALUES THAN POM. POM DELTA(15)N VARIED BETWEEN 1.6 AND 5.6 PARTS PER THOUSAND. ZOOPLANKTON WAS SIGNIFICANTLY HIGHER IN N-15 COMPARED WITH POM AT ESTUARINE AND SHELF STATIONS. THE DIFFERENCE IN DELTA(15)N WAS 3.2 PARTS PER THOUSAND. DECAPOD LARVAE SHOWED RELATIVELY LOW DELTA(15)N VALUES (SIMILAR TO OR EVEN LOWER THAN ZOOPLANKTON SUBSAMPLES), INDICATING A RELATIVELY LOW TROPHIC POSITION. DELTA(13)C VALUES OF DECAPOD LARVAE WERE GENERALLY CLOSE TO THE VALUES MEASURED FOR THE OCEANIC COPEPOD COMMUNITY INDICATING A SIMILARITY IN THE UTILIZATION OF PELAGIC PRIMARY CARBON SOURCES.;SCHWAMBORN R, 1999, ARCH FISH MAR RES-a;NA;;;;;;;;;;;;;;;;;;
1704;KNOPPERS B, 1999, ARCH FISH MAR RES;1999;COMPARTMENTS OF THE PELAGIC SYSTEM AND MATERIAL EXCHANGE AT THE ABROLHOS BANK CORAL REEFS, BRAZIL;NA;INCREASE OF HUMAN ACTIVITIES IN THE COASTAL ZONE OF THE ABROLHOS BANK, BRAZIL, GAVE RISE TO THE OPINION THAT ITS REEF ENVIRONMENTS MAY BE THREATENED BY EUTROPHICATION AND INSILTING. THIS STUDY, CONDUCTED IN AUSTRAL SUMMER FROM JANUARY 14TH TO 20TH, 1995, PRESENTS A FIRST INSIGHT INTO THE CURRENT REGIME, DISTRIBUTION OF WATER PROPERTIES AND MATERIAL EXCHANGE AT THE LAND-SEA INTERFACE OF THE ABROLHOS REEF SYSTEM. SPECIFIC TRACERS, SUCH AS PARTICLE MINERALOGY AND PHYTOPLANKTON PIGMENTS, WERE EMPLOYED TO DISCERN THE IMPACT OF MATERIAL SOURCES UPON THE SYSTEM. PATTERNS OF THE CURRENT REGIME AND WATER PROPERTIES WERE LARGELY CONTROLLED BY TOPOGRAPHY AND REVEALED THE PRESENCE OF DISTINCT INSHORE, COASTAL, OPEN REEF, AND INNER SHELF REALMS OF THE PELAGIC SYSTEM. THE INSHORE REALM WAS MESOTROPHIC WITH TYPICAL ESTUARINE PHYTOPLANKTON AND THE OTHERS, FED BY THE BRAZIL CURRENT, WERE OLIGOTROPHIC WITH OCEANIC PHYTO- AND ZOOPLANKTON. FORESHORE SHOALS, GOVERNED BY TERRIGENOUS RESUSPENDED MATERIAL, WERE THE MAIN SOURCE OF MATTER TO THE COASTAL REALM. THE SEAWARD TRANSPORT OF MATERIAL WAS HAMPERED BY A HYDRODYNAMIC BARRIER SET-UP BY STRONG SHORE-PARALLEL CURRENTS AND THE INNER ARE OF THE REEFS. LAND IMPACT UPON THE REEF WATERS WAS MITIGATED DUE TO EFFICIENT: FLUSHING BY THE BRAZIL CURRENT.;KNOPPERS B, 1999, ARCH FISH MAR RES;NA;;;;;;;;;;;;;;;;;;
1705;LABOREL J, 1999, BULL GEOL SOC DEN;1999;LITTORAL BIOEROSION, A TOOL FOR THE STUDY OF SEA LEVEL VARIATIONS DURING THE HOLOCENE;MARINE GEOLOGY;;;;;;;;;;;;;;;;;;;;;
1706;SAZIMA I, 1999, CYBIUM;1999;A JUVENILE SHARKSUCKER, ECHENEIS NAUCRATES (ECHENEIDAE), ACTING AS A STATION-BASED CLEANER FISH;ECHENEIDAE;;;;;;;;;;;;;;;;;;;;;
1709;KESSLER M, 1999, PHYTOCOENOLOGIA;1999;USING INDICATOR FAMILIES FOR VEGETATION CLASSIFICATION IN SPECIES-RICH NEOTROPICAL FORESTS;INDICATOR GROUPS;;;; D) MINIMUM AREA; E) WIDE ECOLOGICAL AND GEOGRAPHICAL DISTRIBUTION; F) FAMILY EASILY RECOGNIZED PHYSIOGNOMICALLY;" G) WELL-KNOWN AND STABLE LAXONOMY. THESE CRITERIA REVEALED CONSIDERABLE DIFFERENCES BETWEEN FAMILIES BUT VARIED REGIONALLY AND BETWEEN HABITATS, SO THAT NO INDICATOR FAMILIES COULD BE RECOMMENDED AS USEFUL FOR ALL STUDIES. WE PROVIDE GUIDELINES FOR SELECTING INDICATOR GROUPS FOR VEGETATION STUDIES IN THE NEOTROPICS. A FURTHER ANALYSIS REVEALED THAT FULL FLORISTIC SAMPLES LOOSE FAIRLY LITTLE INFORMATION IF THE PLANTS ARE ONLY IDENTIFIED TO GENUS LEVEL, RAISING THE POSSIBILITY TO BASE VEGETATION CLASSIFICATION STUDIES ON COMPARATIVELY EASY GENUS IDENTIFICATION."",""KESSLER M, 1999, PHYTOCOENOLOGIA"",NA";;;;;;;;;;;;;;
1712;DE SANTA-ISABEL LM, 1998, REV BIOL TROP;1998;BIODIVERSITY AND SPATIAL DISTRIBUTION OF POLYCHAETA (ANNELIDA) COMMUNITIES IN CORAL-ALGAL BUILDUP SEDIMENT, BAHIA, BRAZIL;BIODIVERSITY;;;;;;;;;;;;;;;;;;;;;
1715;MAIA LF, 1998, BOL SOC CHILENA QUIM;1998;STEROID COMPOSITION IN CARIJOA RIISEI (TELESTACEA);OCTOCORAL;;;;;;;;;;;;;;;;;;;;;
1716;EPIFANIO RD, 1998, J BRAZ CHEM SOC;1998;NATURAL PRODUCTS FROM THE GORGONIAN LOPHOGORGIA PUNICEA: ISOLATION AND STRUCTURE ELUCIDATION OF AN UNUSUAL 17-HYDROXYSTEROL;GORGONACEA;;;;;;;;;;;;;;;;;;;;;
1717;MUNROE TA, 1998, FISH BULL;1998;SYSTEMATICS AND ECOLOGY OF TONGUEFISHES OF THE GENUS SYMPHURUS (CYNOGLOSSIDAE : PLEURONECTIFORMES) FROM THE WESTERN ATLANTIC OCEAN;NA;THE 24 SPECIES OF THE CYNOGLOSSID GENUS SYMPHURUS RAFINESQUE, 1810 OCCURRING IN THE WESTERN ATLANTIC OCEAN ARE REVISED. SYMPHURUS SPECIES ARE FOUND FROM THE SOUTHERN SCOTIAN SHELF (CA. 45 DEGREES N) SOUTHWARD TO CENTRAL ARGENTINA (CA. 45 DEGREES S). THESE SMALL TO MEDIUM-SIZE, LEFT-SIDED FLATFISHES INHABIT DIVERSE SUBSTRATES RANGING FROM SHALLOW ESTUARINE HABITATS TO DEEPWATER SUBSTRATES ON THE OUTER CONTINENTAL SHELF AND UPPER CONTINENTAL SLOPE. THIRTY-FOUR NOMINAL SPECIES OF SYMPHURINE TONGUEFISHES HAVE BEEN DESCRIBED PREVIOUSLY FROM THIS AREA. TWENTY-FOUR, INCLUDING TWO NEW SPECIES, ARE CONSIDERED VALID: S. ARAWAK ROBINS AND RANDALL, 1965, IN SHALLOW SANDY HABITATS ADJACENT TO CORAL REEFS FROM ALLIGATOR REEF, FLORIDA, THROUGH THE CARIBBEAN SEA TO COLOMBIA;;; S. MINOR GINSBURG, 1951, PRIMARILY ON LIVE-BOTTOM HABITATS OFF THE SOUTHEASTERN UNITED STATES AND EASTERN GULF OF MEXICO WESTWARD TO ABOUT DESOTO SUBMARINE CANYON (CA. 29 DEGREES 87'W), RARELY OFF SOUTHERN SCOTIAN SHELF TO CA. 44 DEGREES N. S. NEBULOSUS (GOODE AND BEAN, 1883), ON THE OUTER CONTINENTAL SHELF AND UPPER CONTINENTAL SLOPE FROM NEAR LONG ISLAND, NEW YORK (CA. 40 DEGREES 48'N), TO THE BLAKE PLATEAU OFF FORT LAUDERDALE, FLORIDA (CA. 26 DEGREES 28'N); S. OCULELLUS MUNROE, 1991, ON THE INNER CONTINENTAL SHELF ON MUD BOTTOMS FROM GUYANA (57 DEGREES W) TO NORTHEASTERN BRAZIL(2 DEGREES S, 40 DEGREES W); S. OMMASPILUS BOHLKE, 1961, ON SHALLOW-WATER SANDY SUBSTRATES IN THE CARIBBEAN SEA FROM THE BAHAMAS, LESSER ANTILLES, AND BELIZE; S. PARVUS GINSBURG, 1951, ON INNER CONTINENTAL SHELF MUD BOTTOMS FROM OFF CAPE LOOKOUT, NORTH CAROLINA (CA. 34 DEGREES 23'N), THROUGH THE GULF OF MEXICO AND CARIBBEAN SEA TO VENEZUELA; S. PELICANUS GINSBURG, 1951, ON CONTINENTAL SHELF SOFT MUD BOTTOMS FROM THE WESTERN AND CENTRAL GULF OF MEXICO AND CARIBBEAN SEA TO TRINIDAD; S. PIGER (GOODE AND BEAN, 1886), ON THE OUTER CONTINENTAL SHELF AND UPPER CONTINENTAL SLOPE FROM SOUTHERN FLORIDA (CA. 30 DEGREES N), THE GULF OF MEXICO, AND THROUGHOUT THE CARIBBEAN SEA TO SURINAME (CA. 7 DEGREES N, 53 DEGREES W); S. PLAGIUSA (LINNAEUS, 1766), ON SOFT MUD AND SILT SUBSTRATES IN ESTUARINE AND NERITIC HABITATS FROM LONG ISLAND SOUND TO THE CAMPECHE PENINSULA, ALSO THE BAHAMAS AND CUBA; S. PLAGUSIA (SCHNEIDER, IN BLOCH AND SCHNEIDER, 1801), ON SAND AND SILT SUBSTRATES IN ESTUARINE AND NERITIC HABITATS FROM THE GREATER ANTILLES AND CENTRAL AMERICA TO ABOUT RIO DE JANEIRO, BRAZIL; S. PUSILLUS (GOODE AND BEAN, 1885), ON THE OUTER CONTINENTAL SHELF FROM OFF LONG ISLAND, NEW YORK (CA. 40 DEGREES N), TO DESOTO SUBMARINE CANYON IN THE EASTERN GULF OF MEXICO (CA. 29 DEGREES 87'W); S. RHYTISMA BOHLKE, 1961, FROM THE BAHAMAS, BELIZE, CURACAO, AND PERHAPS BRAZIL; S. STIGMOSUS, NEW SPECIES, IN DEEPWATER AREAS OF THE STRAITS OF FLORIDA AND GULF STREAM OFF SOUTHERN FLORIDA AND IN THE CARIBBEAN OFF YUCATAN, SERRANA BANK, AND DOMINICA, DIFFERING FROM OTHER SPECIES IN ITS COMBINATION OF MERISTIC AND MORPHOMETRIC FEATURES, BLACK PERITONEUM, RELATIVELY LARGE ROUNDED CONTIGUOUS EYES WITHOUT PUPILLARY OPERCULUM, AND DORSAL AND ANAL FINS WITH COMBINATION OF 1) DARK BROWN LONGITUDINAL STRIPE ON BASAL ONE-THIRD WHICH COVERS FIN RAYS AND INTERVENING MEMBRANES AND 2) USUALLY A SERIES OF DISTINCT, DARKLY PIGMENTED BLOTCHES ALTERNATING WITH UNPIGMENTED AREAS OF SOMEWHAT LARGER SIZE ON POSTERIOR TWO-THIRDS OF FINS; S. TESSELLATUS (QUOY AND GAIMARD, 1824), ON SANDY AND SILTY SUBSTRATES IN ESTUARINE AND NERITIC HABITATS FROM THE GREATER ANTILLES AND CENTRAL AMERICA TO NORTHERN ARGENTINA; S. TREWAVASAE CHABANAUD, 1948, ON CONTINENTAL SHELF MUD BOTTOMS FROM ABOUT CABO FRIO, BRAZIL (CA. 22 DEGREES 53'S), TO CENTRAL ARGENTINA (CA. 45 DEGREES S); AND S. UROSPILUS GINSBURG, 1951, ON LIVE-BOTTOM HABITATS ON THE INNER CONTINENTAL TAL SHELF FROM ABOUT CAPE HATTERAS, NORTH CAROLINA, TO YUCATAN PENINSULA, AND CUBA. SEVEN SPECIES ARE SYNONYMIZED. ACHIRUS ORNATA LACEPEDE, 1802, AND PLAGUSIA BRASILIENSIS AGASSIZ, IN SPIX AND AGASSIZ, 1831, ARE SYNONYMS OF SYMPHURUS TESSELLATUS (QUOY AND GAIMARD, 1824); PLAGUSIA FASCIATA DEKAY, 1842, IS A SYNONYM OF SYMPHURUS PLAGIUSA (LINNAEUS, 1766); SYMPHURUS BERGI THOMPSON, 1916, IS A SYNONYM OF S. JENYNSI EVERMANN AND KENDALL; SYMPHURUS SUMPTUOSUS CHABANAUD, 1948, AND S. PTEROSPILOTUS GINSBURG, 1951, ARE SYNONYMS OF S. DIOMEDEANUS (GOODE AND BEAN, 1885);" AND SYMPHURUS MERIDIONALIS LEMA AND OLIVEIRA, 1977, IS A SYNONYM OF S. JENYNSI EVERMANN AND KENDALL. DESCRIPTIONS, DIFFERENTIAL DIAGNOSES, AN ARTIFICIAL KEY, AND SUMMARIES OF ECOLOGICAL INFORMATION ARE PROVIDED FOR 24 SPECIES OF WESTERN ATLANTIC SYMPHURINE TONGUEFISHES."",""MUNROE TA, 1998, FISH BULL"",NA"
1718;BOURGOIN T, 1998, PROC ENTOMOL SOC WASH;1998;DESCRIPTIONS OF TWO NEW SPECIES OF SOUTH AMERICAN OLIARUS STAL (HOMOPTERA : FULGOROMORPHA : CIXIIDAE), INCLUDING A RICE-ASSOCIATED SPECIES FROM PERU;OLIARUS;;;;;;;;;;;;;;;;;;;;;
1722;HERRNKIND WF, 1997, FISHERIES;1997;CAN ARTIFICIAL HABITATS THAT MIMIC NATURAL STRUCTURES ENHANCE RECRUITMENT OF CARIBBEAN SPINY LOBSTER?;NA;THE CARIBBEAN SPINY LOBSTER (PANULIRUS ARGUS) SUPPORTS ECONOMICALLY IMPORTANT FISHERIES THROUGHOUT ITS RANGE FROM BERMUDA TO SOUTHERN BRAZIL;;;;;;;;;;;;;;;;;;;;
1729;VIANNA M, 1995, ARQ BIOL TECNOL;1995;NOTE ABOUT COSMOCAMPUS ALBIROSTRIS (KAUP, 1856) (GASTEROSTEIFORMES, SYNGNATHIDAE) IN THE BRAZILIAN SOUTHEAST COAST;COSMOCAMPUS;;;;;;;;;;;;;;;;;;;;;
1732;HARLEY M, 1994, EXPLOR MIN GEOL;1994;STRUCTURAL DEVELOPMENT AND CONTROLS TO EPIGENETIC, MESOTHERMAL GOLD MINERALIZATION IN THE SABIE-PILGRIMS-REST GOLDFIELD, EASTERN TRANSVAAL, SOUTH-AFRICA;NA;BEDDING-PARALLEL THRUST-HOSTED GOLD VEINS ARE DEVELOPED IN THE SABIE-PILGRIM'S REST GOLDFIELD, EASTERN TRANSVAAL, SOUTH AFRICA. THE REEFS DISPLAY A COMPLEX HISTORY CHARACTERIZED BY TEMPORALLY AND SPATIALLY OVERLAPPING EVENTS OF SIMILAR MINERALIZATION AND DEFORMATION. RECOGNITION OF THE EPISODIC REACTIVATION OF THESE LOW ANGLE (5-DEGREES TO 10-DEGREES) THRUST FAULTS IMPLICATES HIGH FLUID PRESSURES (EQUALING OR EXCEEDING LITHOSTATIC PRESSURES). GEOCHENUCAL CONSTRAINS LIMIT THE AMOUNT OF FLUID ROCK INTERACTION AND THE OCCURRENCE OF TRANSGRESSIVE MINERALIZATION WITHIN THE ARCHAEAN GRANITOID BASEMENT SUGGESTS THAT THE HIGH PRESSURE FLUIDS ORIGINATED AT DEPTH BENEATH THE TRANSVAAL BASIN. SIMILARITIES EXIST BETWEEN GOLD DEPOSITS OF SABIE-PILGRIM'S REST AND TELFER, WESTERN AUSTRALIA AS WELL AS PASSAGEM DE MARIANA, MINAS GERAIS, BRAZIL. ALL DEPOSITS ARE SUB-PARALLEL TO THE ENCLOSING BEDDING WHICH IS SHALLOWLY INCLINED. FURTHERMORE, THEY ARE ALSO HOSTED BY CONTRACTIONAL DEFORMATIONAL STRUCTURES AND ARE CLEARLY EPIGENETIC IN ORIGIN.;HARLEY M, 1994, EXPLOR MIN GEOL;NA;;;;;;;;;;;;;;;;;;
1737;HO YW, 1993, MYCOTAXON;1993;PIROMYCES-SPIRALIS, A NEW SPECIES OF ANAEROBIC FUNGUS FROM THE RUMEN OF GOAT;NA;PIROMYCES SPIRALIS, A NEW SPECIES OF ANAEROBIC FUNGUS FROM THE RUMEN OF GOAT IS DESCRIBED AND ILLUSTRATED. THE FUNGUS IS MONOCENTRIC WITH ENDOGENOUS SPORANGIA AND COILED MAIN AND SECONDARY RHIZOIDS. SPORANGIA ARE HIGHLY EVANESCENT.;HO YW, 1993, MYCOTAXON;NA;;;;;;;;;;;;;;;;;;
1738;WELDEN AL, 1993, MYCOTAXON;1993;NOTES ON TROPICAL AND WARM TEMPERATE BASIDIOMYCETES .2.;NA;NEW TAXA - CORALLODERMA GUZMANII SP. NOV., LAXITEXTUM BICOLOR VAR LUTEOALBA VAR. NOV. AND PODOSCYPHA SEMIRESUPINATA SP. NOV. A POSSIBLE NEW TAXON IN CORALLODERMA IS DISCUSSED NEW RECORDS - DICHOPLEUROPUS SPATHULATUS AND VARARIA DUSSII FROM BRAZIL;;;;;;;;;;;;;;;;;;;;
1739;BANFORD HM, 1993, PROC BIOL SOC WASH;1993;HYPORHAMPHUS-MEEKI, A NEW SPECIES OF HALFBEAK (TELEOSTEI, HEMIRAMPHIDAE) FROM THE ATLANTIC AND GULF COASTS OF THE UNITED-STATES;NA;HYPORHAMPHUS MEEKI IS DESCRIBED FROM THE ATLANTIC AND GULF OF MEXICO COASTS OF THE UNITED STATES. IT HAS BEEN CONFUSED PREVIOUSLY WITH H. UNIFASCIATUS (RANZANI) WHICH OCCURS FROM SOUTHERN FLORIDA, BERMUDA, THE WEST INDIES, AND MEXICO SOUTH TO SOUTHERN BRAZIL. HYPORHAMPHUS MEEKI HAS MORE GILL RAKERS, USUALLY 33-39 ON THE FIRST GILL ARCH AND 26-29 ON THE SECOND ARCH COMPARED TO 28-32 ON THE FIRST ARCH AND 19-25 ON THE SECOND ARCH IN H. UNIFASCIALUS. PECTORAL-FIN RAYS ARE USUALLY 11 OR 12 VS. 10 OR 11 IN H. UNIFASCIATUS. THE RATIO OF PREORBITAL LENGTH TO ORBIT DIAMETER IS USUALLY GREATER THAN 0.70 IN H. MEEKI, LESS THAN 0.70 IN H. UNIFASCIATUS.;BANFORD HM, 1993, PROC BIOL SOC WASH;NA;;;;;;;;;;;;;;;;;;
1740;ROSENBERG G, 1993, AM MALACOL BULL;1993;A DATABASE APPROACH TO STUDIES OF MOLLUSCAN TAXONOMY, BIOGEOGRAPHY AND DIVERSITY, WITH EXAMPLES FROM WESTERN ATLANTIC MARINE GASTROPODS;NA;A SYSTEM OF DATA FIELDS AND CONVENTIONS IS INTRODUCED THAT WILL ALLOW WORKERS ON ANY GROUP OF MOLLUSKS TO BUILD INTERACTIVE DATABASES DOCUMENTING CLASSIFICATIONS, SYNONYMIES, GEOGRAPHIC AND BATHYMETRIC RANGES, AND OTHER SUMMARY INFORMATION AT THE SPECIES LEVEL. THIS SYSTEM IS USED TO BUILD A DATABASE WHICH IS THE FIRST COMPREHENSIVE CATALOGUE OF RECENT WESTERN ATLANTIC GASTROPODS EVER ASSEMBLED WITH GEOGRAPHIC COVERAGE EXTENDING FROM GREENLAND TO ANTARCTICA. AS OF JANUARY 1993, THE DATABASE CONTAINED 8370 RECORDS, OF WHICH 3988 REPRESENT CURRENTLY RECOGNIZED SPECIES, 3491 ARE SYNONYMS, 157 ARE NOMINA DUBIA AND THE REMAINDER ARE MISIDENTIFICATIONS, MISSPELLINGS, INVALIDLY PUBLISHED OR EXTRALIMITAL. THERE ARE 3103 CURRENTLY RECOGNIZED SPECIES OF TROPICAL WESTERN ATLANTIC GASTROPODS (35-DEGREES-N TO 24-DEGREES-S);;;;;;;;;;;;;;;;;;;;
1741;PIRES DO, 1992, BULL MAR SCI;1992;CNIDAE OF THE BRAZILIAN MUSSIDAE (CNIDARIA, SCLERACTINIA) AND THEIR VALUE IN TAXONOMY;NA;THE CNIDAE OF FOUR SPECIES OF MUSSIDAE ARE DESCRIBED AND ILLUSTRATED. BOTH WEILL'S (I 934) NEMATOCYST NOMENCLATURE, LATER MODIFIED BY CARLGREN (1940), AND SCHMIDT'S (1969;;;;;;;;;;;;;;;;;;;;
